,Unnamed: 0,section,ennode,exnode,entype,extype,timedelta,cnt,oricnt,descnt,iscor,distance
0,2,"('351507','4003EX')",351507,4003EX,3,3,1181.2,15,6777,4204,0,21315
1,11,"('9106EN','352003')",9106EN,352003,1,1,823.0,15,3925,6644,0,18183
2,13,"('5101EN','35010B')",5101EN,35010B,1,1,1294.7398648648648,296,2194,33958,1,13411
3,17,"('5111EN','340119')",5111EN,340119,1,1,567.6,5,12482,20795,0,15720
4,24,"('4109EN','35151A')",4109EN,35151A,1,1,296.392578125,1024,2077,16122,1,3580
